?   	stdd/agentstream	[no test files]
ok  	stdd/agentstream/checklist	0.529s
ok  	stdd/agentstream/cmd/adherence-reconcile	(cached)
ok  	stdd/agentstream/cmd/agentstream	15.980s
ok  	stdd/agentstream/config	(cached)
ok  	stdd/agentstream/control	(cached)
ok  	stdd/agentstream/executor	(cached)
ok  	stdd/agentstream/featurespec	(cached)
ok  	stdd/agentstream/htmlformat	(cached)
ok  	stdd/agentstream/pipeline	(cached)
ok  	stdd/agentstream/tddloop	(cached)
ok  	stdd/agentstream/text	(cached)
ok  	stdd/agentstream/tiedpreflight	(cached)
